example_id,source,split,model_name,task,train_loss,validation_loss,train_metric,validation_metric,learning_rate,epochs,additional_information,diagnosis,evidence,next_experiment
synthetic_v3_insufficient_evidence_044,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.535, 1.236, 0.966, 0.73, 0.538, 0.421]","[1.595, 1.296, 1.025, 0.789, 0.597, 0.48]","[0.348, 0.467, 0.575, 0.669, 0.746, 0.793]",[],0.001,"[1, 2, 3, 4, 5, 6]",Metrics were recorded once at the end of every epoch.,insufficient_evidence,"The validation metric and its definition were not recorded, so the available information is incomplete and does not support a reliable diagnosis.","Record the validation metric and its definition, then rerun the evaluation."
synthetic_v3_healthy_039,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.396, 1.236, 1.083, 0.938, 0.801, 0.673, 0.554, 0.447, 0.354, 0.278, 0.232]","[1.476, 1.311, 1.153, 1.003, 0.862, 0.877, 0.607, 0.496, 0.4, 0.321, 0.274]","[0.483, 0.544, 0.602, 0.657, 0.71, 0.758, 0.804, 0.844, 0.88, 0.909, 0.927]","[0.461, 0.522, 0.581, 0.637, 0.69, 0.685, 0.785, 0.827, 0.863, 0.892, 0.91]",0.001837,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",A split audit found no overlap and both curves converged normally.,healthy,"Across 11 epochs, training loss decreased from 1.396 to 0.232 and validation loss decreased from 1.476 to 0.274. The final training and validation metrics remained close at 0.927 and 0.910.",Repeat the run with another random seed to check that the result is reproducible.
synthetic_v3_healthy_009,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.653, 1.383, 1.129, 0.895, 0.684, 0.499, 0.349, 0.258]","[1.697, 1.425, 1.171, 0.937, 0.952, 0.54, 0.389, 0.298]","[0.486, 0.575, 0.657, 0.734, 0.803, 0.863, 0.912, 0.942]","[0.474, 0.559, 0.637, 0.71, 0.705, 0.833, 0.88, 0.908]",0.001564,"[1, 2, 3, 4, 5, 6, 7, 8]",A split audit found no overlap and both curves converged normally.,healthy,"Across 8 epochs, training loss decreased from 1.653 to 0.258 and validation loss decreased from 1.697 to 0.298. The final training and validation metrics remained close at 0.942 and 0.908.",Repeat the run with another random seed to check that the result is reproducible.
synthetic_v3_learning_rate_too_high_026,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[0.894, 2.81, 0.882, 2.488, 1.202, 3.076, 1.306, 2.259, 1.02, 2.262]","[1.051, 2.899, 1.069, 2.569, 1.325, 3.194, 1.432, 2.44, 1.151, 2.408]","[0.476, 0.285, 0.598, 0.213, 0.538, 0.202, 0.482, 0.366, 0.592, 0.272]","[0.457, 0.254, 0.565, 0.19, 0.516, 0.173, 0.456, 0.351, 0.579, 0.26]",0.2802,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",The same architecture was used for the complete experiment.,learning_rate_too_high,"The large recurring loss spikes were paired with metric drops, such as 0.476 to 0.285 between epochs 1 and 2.",Reduce the learning rate first and check whether the loss begins to converge smoothly.
synthetic_v3_insufficient_evidence_027,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.046, 0.8]","[1.084, 0.82]",[],[],0.001,"[1, 2]",Only two epochs and no accuracy metrics were recorded.,insufficient_evidence,"Only two epochs are available and both training and validation metrics are missing, so the early loss decrease does not support a specific diagnosis.",Collect more epochs and record training and validation metrics before diagnosing the run again.
synthetic_v3_data_leakage_suspected_016,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[0.42, 0.317, 0.224, 0.142, 0.076, 0.036]","[0.38, 0.282, 0.194, 0.117, 0.054, 0.016]","[0.84, 0.88, 0.916, 0.947, 0.973, 0.988]","[0.88, 0.911, 0.939, 0.963, 0.983, 0.995]",0.001,"[1, 2, 3, 4, 5, 6]",Augmentation was applied before splitting and created 95 near-identical image pairs across training and validation.,data_leakage_suspected,The audit found 95 near-duplicate augmented images shared between the training and validation splits.,"Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_learning_rate_too_high_025,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.322, 3.382, 1.046, 2.098, 0.8, 2.475, 1.262, 2.054, 0.969, 3.221]","[1.418, 3.555, 1.216, 2.194, 0.999, 2.572, 1.406, 2.135, 1.127, 3.354]","[0.558, 0.313, 0.473, 0.274, 0.553, 0.355, 0.463, 0.218, 0.563, 0.306]","[0.536, 0.274, 0.454, 0.26, 0.535, 0.342, 0.436, 0.19, 0.535, 0.273]",0.2226,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Large loss jumps continued even though the batch size stayed fixed.,learning_rate_too_high,"Loss oscillated throughout 10 epochs, including increases from 1.322 to 3.382 and from 1.046 to 2.098; the run did not converge.",Repeat the configuration with a learning rate ten times smaller.
synthetic_v3_insufficient_evidence_019,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.51, 1.202, 0.924, 0.68, 0.483, 0.362]","[1.548, 1.242, 0.965, 0.724, 0.527, 0.407]","[0.346, 0.481, 0.604, 0.71, 0.797, 0.85]",[],0.001,"[1, 2, 3, 4, 5, 6]","Validation loss exists, but the validation metric and metric definition are missing.",insufficient_evidence,"The validation metric and its definition were not recorded, so the available information is incomplete and does not support a reliable diagnosis.","Record the validation metric and its definition, then rerun the evaluation."
synthetic_v3_overfitting_043,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.469, 1.218, 0.982, 0.765, 0.568, 0.397, 0.257, 0.172]","[1.524, 1.054, 0.671, 0.438, 0.552, 0.662, 0.767, 0.859]","[0.467, 0.562, 0.652, 0.734, 0.809, 0.874, 0.927, 0.959]","[0.457, 0.607, 0.729, 0.804, 0.78, 0.757, 0.736, 0.717]",0.001292,"[1, 2, 3, 4, 5, 6, 7, 8]",Training kept improving after validation had started getting worse.,overfitting,"Validation performance was best at epoch 4 and became worse afterward, even though training loss kept falling to 0.172.",Use epoch 4 as the early-stopping point and compare it with the final checkpoint.
synthetic_v3_underfitting_037,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[2.237, 2.037, 1.863, 1.714, 1.589, 1.487, 1.406, 1.344, 1.301, 1.274, 1.261, 1.258]","[2.26, 2.067, 1.899, 1.755, 1.635, 1.536, 1.458, 1.398, 1.357, 1.331, 1.318, 1.315]","[0.299, 0.344, 0.383, 0.417, 0.445, 0.468, 0.486, 0.5, 0.51, 0.516, 0.519, 0.52]","[0.292, 0.336, 0.374, 0.407, 0.435, 0.458, 0.475, 0.489, 0.498, 0.504, 0.507, 0.508]",0.001103,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Training and validation remained close but both results were weak.,underfitting,"Both splits reached a weak plateau. Training and validation losses ended close together at 1.258 and 1.315, and neither metric exceeded 0.520.","Increase the training budget first, then try a model with more capacity if the plateau remains."
synthetic_v3_underfitting_011,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[2.184, 2.047, 1.932, 1.838, 1.764, 1.707, 1.668, 1.643, 1.631, 1.628]","[2.265, 2.121, 1.999, 1.9, 1.821, 1.762, 1.72, 1.694, 1.681, 1.678]","[0.266, 0.321, 0.367, 0.405, 0.435, 0.458, 0.474, 0.484, 0.489, 0.49]","[0.257, 0.311, 0.356, 0.393, 0.423, 0.445, 0.46, 0.47, 0.475, 0.476]",0.001831,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Both splits reached a similarly weak plateau near the end.,underfitting,"The model still performed poorly on its training data after 10 epochs, with a 0.490 training metric. Validation was similarly weak at 0.476.",Continue training and compare the result with a larger architecture using the same split.
synthetic_v3_overfitting_037,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.642, 1.385, 1.142, 0.915, 0.705, 0.516, 0.351, 0.216, 0.134]","[1.7, 0.885, 0.388, 0.506, 0.623, 0.736, 0.845, 0.949, 1.04]","[0.51, 0.586, 0.657, 0.724, 0.785, 0.841, 0.89, 0.929, 0.954]","[0.5, 0.683, 0.795, 0.774, 0.753, 0.732, 0.712, 0.694, 0.677]",0.000774,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",No early stopping was used after the validation score peaked.,overfitting,"After epoch 3, training continued improving to 0.134 loss, but validation loss moved in the opposite direction and finished at 1.040.",Use epoch 3 as the early-stopping point and compare it with the final checkpoint.
synthetic_v3_learning_rate_too_low_029,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.747, 1.742, 1.737, 1.732, 1.727, 1.722, 1.717, 1.712, 1.708, 1.703, 1.698, 1.693, 1.688, 1.683]","[1.807, 1.803, 1.798, 1.794, 1.79, 1.786, 1.782, 1.778, 1.774, 1.77, 1.765, 1.761, 1.757, 1.753]","[0.368, 0.373, 0.379, 0.384, 0.39, 0.395, 0.401, 0.406, 0.411, 0.417, 0.422, 0.428, 0.433, 0.438]","[0.358, 0.362, 0.366, 0.37, 0.374, 0.378, 0.381, 0.385, 0.389, 0.393, 0.397, 0.401, 0.405, 0.409]",2.5e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","There were no spikes, but each epoch changed the metrics only slightly.",learning_rate_too_low,"Despite 14 stable epochs, training loss only moved from 1.747 to 1.683, leaving performance poor within the available budget.",Raise the learning rate and compare how much progress is made in the same epoch budget.
synthetic_v3_overfitting_029,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.622, 1.44, 1.265, 1.097, 0.938, 0.788, 0.647, 0.517, 0.4, 0.298, 0.214, 0.164]","[1.692, 1.265, 0.893, 0.59, 0.405, 0.494, 0.582, 0.669, 0.753, 0.834, 0.911, 0.978]","[0.508, 0.566, 0.621, 0.673, 0.723, 0.77, 0.815, 0.855, 0.892, 0.924, 0.95, 0.966]","[0.498, 0.611, 0.71, 0.79, 0.839, 0.798, 0.758, 0.718, 0.68, 0.642, 0.607, 0.576]",0.001568,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",A second seed showed the same late divergence between the two splits.,overfitting,"After epoch 5, training continued improving to 0.164 loss, but validation loss moved in the opposite direction and finished at 0.978.",Stop training near epoch 5 and evaluate that checkpoint on a separate holdout.
synthetic_v3_overfitting_031,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.47, 1.297, 1.13, 0.97, 0.819, 0.675, 0.541, 0.418, 0.306, 0.208, 0.129, 0.081]","[1.562, 0.814, 0.357, 0.419, 0.479, 0.539, 0.598, 0.656, 0.712, 0.767, 0.819, 0.864]","[0.414, 0.485, 0.555, 0.621, 0.683, 0.743, 0.798, 0.849, 0.896, 0.936, 0.969, 0.989]","[0.404, 0.682, 0.851, 0.829, 0.807, 0.786, 0.765, 0.744, 0.724, 0.704, 0.686, 0.67]",0.000571,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",The best validation checkpoint occurred before the final epoch.,overfitting,"Validation performance was best at epoch 3 and became worse afterward, even though training loss kept falling to 0.081.",Use epoch 3 as the early-stopping point and compare it with the final checkpoint.
synthetic_v3_learning_rate_too_low_010,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.812, 1.803, 1.793, 1.784, 1.775, 1.766, 1.757, 1.747, 1.738, 1.729, 1.72, 1.71, 1.701, 1.692, 1.683, 1.674]","[1.872, 1.863, 1.855, 1.846, 1.838, 1.829, 1.821, 1.812, 1.803, 1.795, 1.786, 1.778, 1.769, 1.761, 1.752, 1.744]","[0.301, 0.305, 0.31, 0.314, 0.318, 0.322, 0.326, 0.331, 0.335, 0.339, 0.343, 0.348, 0.352, 0.356, 0.36, 0.365]","[0.291, 0.295, 0.298, 0.302, 0.306, 0.309, 0.313, 0.317, 0.32, 0.324, 0.328, 0.331, 0.335, 0.339, 0.342, 0.346]",9.1e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",The optimizer state was reset before training started.,learning_rate_too_low,The curves moved in the right direction but very slowly: over 16 epochs training loss changed by just 0.138 and the metric changed by 0.064.,Try a learning rate ten times larger while keeping the other settings fixed.
synthetic_v3_insufficient_evidence_034,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.46, 1.17, 0.907, 0.678, 0.492, 0.378]","[1.495, 1.21, 0.952, 0.726, 0.543, 0.431]","[0.404, 0.521, 0.626, 0.718, 0.793, 0.838]",[],0.001,"[1, 2, 3, 4, 5, 6]",Data augmentation settings stayed unchanged during training.,insufficient_evidence,"The validation metric and its definition were not recorded, so the available information is incomplete and does not support a reliable diagnosis.","Record the validation metric and its definition, then rerun the evaluation."
synthetic_v3_learning_rate_too_high_017,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[0.845, 1.91, 1.027, 3.162, 1.016, 3.193, 1.058, 2.546]","[1.024, 2.068, 1.178, 3.278, 1.168, 3.356, 1.195, 2.647]","[0.51, 0.257, 0.56, 0.314, 0.595, 0.341, 0.499, 0.25]","[0.476, 0.236, 0.522, 0.298, 0.555, 0.326, 0.466, 0.239]",0.2318,"[1, 2, 3, 4, 5, 6, 7, 8]",Neither split settled into a downward trend during the run.,learning_rate_too_high,"The large recurring loss spikes were paired with metric drops, such as 0.510 to 0.257 between epochs 1 and 2.",Reduce the learning rate first and check whether the loss begins to converge smoothly.
synthetic_v3_overfitting_016,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.475, 1.205, 0.953, 0.72, 0.509, 0.325, 0.176, 0.084]","[1.512, 0.789, 0.348, 0.496, 0.639, 0.779, 0.911, 1.026]","[0.423, 0.529, 0.627, 0.718, 0.801, 0.872, 0.931, 0.966]","[0.413, 0.68, 0.843, 0.797, 0.751, 0.708, 0.666, 0.63]",0.000388,"[1, 2, 3, 4, 5, 6, 7, 8]",The experiment used a fixed random seed.,overfitting,"Validation loss reached its lowest value of 0.348 at epoch 3, then increased to 1.026, while training loss continued decreasing to 0.084.",Use epoch 3 as the early-stopping point and compare it with the final checkpoint.
synthetic_v3_overfitting_041,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.233, 1.054, 0.884, 0.724, 0.574, 0.436, 0.311, 0.201, 0.112, 0.058]","[1.337, 1.144, 0.967, 0.806, 0.666, 0.551, 0.482, 0.633, 0.776, 0.901]","[0.461, 0.536, 0.608, 0.675, 0.738, 0.797, 0.849, 0.895, 0.933, 0.956]","[0.451, 0.546, 0.634, 0.713, 0.783, 0.839, 0.874, 0.776, 0.683, 0.602]",0.00163,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",The best validation checkpoint occurred before the final epoch.,overfitting,"After epoch 7, training continued improving to 0.058 loss, but validation loss moved in the opposite direction and finished at 0.901.",Stop training near epoch 7 and evaluate that checkpoint on a separate holdout.
synthetic_v3_learning_rate_too_high_021,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.163, 2.908, 0.969, 2.258, 0.832, 2.46, 0.849, 2.483, 1.167, 2.762, 1.046, 2.63]","[1.307, 3.098, 1.161, 2.359, 0.932, 2.575, 0.951, 2.664, 1.321, 2.946, 1.24, 2.768]","[0.479, 0.269, 0.534, 0.318, 0.511, 0.289, 0.557, 0.28, 0.475, 0.302, 0.569, 0.24]","[0.468, 0.252, 0.515, 0.285, 0.484, 0.256, 0.532, 0.255, 0.448, 0.284, 0.543, 0.2]",0.1855,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Gradient norms repeatedly spiked after optimizer updates.,learning_rate_too_high,"Training loss repeatedly jumped from 1.163 at epoch 1 to 2.908 at epoch 2 and from 0.969 at epoch 3 to 2.258 at epoch 4, with no stable downward trend.",Lower the learning rate by about 10x and run the same experiment again.
synthetic_v3_learning_rate_too_low_000,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.655, 1.645, 1.635, 1.625, 1.615, 1.605, 1.595, 1.584, 1.574, 1.564, 1.554, 1.544, 1.534]","[1.715, 1.706, 1.697, 1.688, 1.678, 1.669, 1.66, 1.65, 1.641, 1.632, 1.622, 1.613, 1.604]","[0.384, 0.389, 0.394, 0.4, 0.405, 0.41, 0.416, 0.421, 0.427, 0.432, 0.437, 0.443, 0.448]","[0.374, 0.379, 0.384, 0.389, 0.395, 0.4, 0.405, 0.411, 0.416, 0.421, 0.426, 0.432, 0.437]",4.4e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",The run completed without hardware or logging errors.,learning_rate_too_low,"Training loss decreased consistently by only 0.121, from 1.655 to 1.534, across 13 epochs, while the training metric improved by only 0.064.",Increase the learning rate by about 10x and run the same experiment again.
synthetic_v3_underfitting_002,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.999, 1.896, 1.81, 1.739, 1.683, 1.641, 1.611, 1.592, 1.583, 1.581]","[2.077, 1.968, 1.876, 1.801, 1.741, 1.696, 1.665, 1.645, 1.635, 1.633]","[0.291, 0.332, 0.368, 0.396, 0.419, 0.436, 0.448, 0.456, 0.46, 0.461]","[0.272, 0.311, 0.344, 0.371, 0.392, 0.408, 0.419, 0.426, 0.43, 0.43]",0.001686,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Batch size and optimizer settings stayed fixed during the run.,underfitting,"The model still performed poorly on its training data after 10 epochs, with a 0.461 training metric. Validation was similarly weak at 0.430.",Continue training and compare the result with a larger architecture using the same split.
synthetic_v3_insufficient_evidence_045,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,[0.891],[0.965],[0.679],[0.729],0.001,[1],Only one epoch was recorded.,insufficient_evidence,"Only one epoch is available, so no training or validation trend can be established.",Continue training for more epochs and record both training and validation metrics.
synthetic_v3_insufficient_evidence_021,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.242, 1.033, 0.845, 0.681, 0.547, 0.466]",[],"[0.37, 0.491, 0.601, 0.697, 0.775, 0.822]",[],0.001,"[1, 2, 3, 4, 5, 6]",Validation loss and validation metric were not recorded.,insufficient_evidence,"Validation loss and validation metric are missing, so generalization cannot be compared with training performance.",Run the experiment again with validation loss and validation metric logging enabled.
synthetic_v3_overfitting_006,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.404, 1.205, 1.015, 0.836, 0.669, 0.515, 0.376, 0.254, 0.155, 0.094]","[1.51, 0.861, 0.464, 0.517, 0.569, 0.62, 0.669, 0.717, 0.763, 0.803]","[0.544, 0.61, 0.672, 0.731, 0.786, 0.837, 0.883, 0.923, 0.956, 0.975]","[0.534, 0.736, 0.859, 0.83, 0.801, 0.772, 0.745, 0.718, 0.692, 0.67]",0.001476,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",The same architecture was used for the complete experiment.,overfitting,"The generalization gap grew after epoch 3: the final training metric was 0.975, while the validation metric fell to 0.670.",Restore the checkpoint from epoch 3 and test early stopping.
synthetic_v3_learning_rate_too_low_042,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.658, 1.651, 1.643, 1.635, 1.628, 1.62, 1.613, 1.605, 1.597, 1.59, 1.582, 1.574]","[1.718, 1.712, 1.705, 1.698, 1.691, 1.685, 1.678, 1.671, 1.665, 1.658, 1.651, 1.644]","[0.409, 0.414, 0.419, 0.424, 0.429, 0.434, 0.439, 0.444, 0.449, 0.455, 0.46, 0.465]","[0.399, 0.403, 0.408, 0.412, 0.417, 0.421, 0.426, 0.43, 0.435, 0.439, 0.443, 0.448]",8.8e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Batch size and optimizer settings stayed fixed during the run.,learning_rate_too_low,"Training loss decreased consistently by only 0.084, from 1.658 to 1.574, across 12 epochs, while the training metric improved by only 0.056.",Increase the learning rate by about 10x and run the same experiment again.
synthetic_v3_insufficient_evidence_006,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.627, 1.317, 1.036, 0.791, 0.591, 0.47]",[],"[0.373, 0.478, 0.573, 0.656, 0.723, 0.764]",[],0.001,"[1, 2, 3, 4, 5, 6]",The same architecture was used for the complete experiment.,insufficient_evidence,"Validation loss and validation metric are missing, so generalization cannot be compared with training performance.",Run the experiment again with validation loss and validation metric logging enabled.
synthetic_v3_data_leakage_suspected_031,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[0.42, 0.313, 0.216, 0.131, 0.063, 0.021]","[0.38, 0.286, 0.202, 0.128, 0.068, 0.031]","[0.84, 0.881, 0.919, 0.951, 0.978, 0.994]","[0.88, 0.911, 0.939, 0.963, 0.983, 0.995]",0.001,"[1, 2, 3, 4, 5, 6]",The scaler and feature selector were fitted on the complete dataset before the train-validation split. Metric on a clean holdout was 0.64.,data_leakage_suspected,"Preprocessing was fitted before the split, so validation information entered the training pipeline. Validation metric was 0.995, compared with 0.640 on a clean holdout.","Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_learning_rate_too_low_020,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.793, 1.788, 1.782, 1.776, 1.77, 1.764, 1.758, 1.752, 1.746, 1.74, 1.734, 1.728, 1.722, 1.716]","[1.853, 1.848, 1.843, 1.838, 1.833, 1.828, 1.822, 1.817, 1.812, 1.807, 1.802, 1.797, 1.791, 1.786]","[0.31, 0.316, 0.321, 0.326, 0.331, 0.337, 0.342, 0.347, 0.352, 0.358, 0.363, 0.368, 0.373, 0.379]","[0.3, 0.305, 0.31, 0.314, 0.319, 0.323, 0.328, 0.333, 0.337, 0.342, 0.346, 0.351, 0.356, 0.36]",4.6e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",The run completed without hardware or logging errors.,learning_rate_too_low,"Despite 14 stable epochs, training loss only moved from 1.793 to 1.716, leaving performance poor within the available budget.",Raise the learning rate and compare how much progress is made in the same epoch budget.
synthetic_v3_healthy_026,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.244, 1.032, 0.835, 0.652, 0.487, 0.343, 0.226, 0.154]","[1.298, 1.093, 0.9, 0.723, 0.563, 0.423, 0.309, 0.24]","[0.526, 0.611, 0.69, 0.763, 0.829, 0.886, 0.933, 0.962]","[0.515, 0.599, 0.677, 0.749, 0.814, 0.871, 0.917, 0.946]",0.002551,"[1, 2, 3, 4, 5, 6, 7, 8]",The same architecture was used for the complete experiment.,healthy,"Training and validation followed the same improving trend: losses ended at 0.154 and 0.240, while their metrics reached 0.962 and 0.946.",Repeat the experiment once more to confirm that the stable result is reproducible.
synthetic_v3_underfitting_038,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[2.168, 1.979, 1.83, 1.718, 1.638, 1.589, 1.564, 1.559]","[2.215, 2.022, 1.87, 1.755, 1.674, 1.623, 1.598, 1.592]","[0.321, 0.385, 0.435, 0.474, 0.501, 0.517, 0.526, 0.528]","[0.317, 0.372, 0.416, 0.448, 0.471, 0.486, 0.493, 0.495]",0.001662,"[1, 2, 3, 4, 5, 6, 7, 8]",No checkpoints were removed from the recorded history.,underfitting,"The model still performed poorly on its training data after 8 epochs, with a 0.528 training metric. Validation was similarly weak at 0.495.",Continue training and compare the result with a larger architecture using the same split.
synthetic_v3_overfitting_015,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.458, 1.276, 1.102, 0.936, 0.78, 0.633, 0.498, 0.376, 0.27, 0.183, 0.13]","[1.558, 1.292, 1.046, 0.824, 0.63, 0.472, 0.376, 0.601, 0.818, 1.024, 1.204]","[0.445, 0.517, 0.587, 0.653, 0.715, 0.773, 0.827, 0.876, 0.918, 0.952, 0.974]","[0.435, 0.52, 0.598, 0.669, 0.731, 0.781, 0.811, 0.766, 0.723, 0.682, 0.647]",0.000463,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",The train-validation gap became larger near the end of the run.,overfitting,"Validation performance was best at epoch 7 and became worse afterward, even though training loss kept falling to 0.130.",Restore the checkpoint from epoch 7 and test early stopping.
synthetic_v3_data_leakage_suspected_043,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[0.42, 0.318, 0.225, 0.145, 0.079, 0.039]","[0.38, 0.284, 0.196, 0.12, 0.058, 0.021]","[0.84, 0.881, 0.918, 0.951, 0.977, 0.993]","[0.88, 0.91, 0.937, 0.961, 0.981, 0.992]",0.001,"[1, 2, 3, 4, 5, 6]",The scaler and feature selector were fitted on the complete dataset before the train-validation split. Metric on a clean holdout was 0.64.,data_leakage_suspected,"Preprocessing was fitted before the split, so validation information entered the training pipeline. Validation metric was 0.992, compared with 0.640 on a clean holdout.","Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_overfitting_025,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.275, 1.12, 0.971, 0.83, 0.696, 0.571, 0.456, 0.352, 0.261, 0.187, 0.142]","[1.342, 1.159, 0.987, 0.829, 0.685, 0.56, 0.459, 0.396, 0.608, 0.81, 0.986]","[0.469, 0.535, 0.599, 0.66, 0.717, 0.771, 0.821, 0.865, 0.905, 0.936, 0.956]","[0.459, 0.522, 0.581, 0.635, 0.684, 0.727, 0.762, 0.783, 0.736, 0.691, 0.652]",0.002315,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",The train-validation gap became larger near the end of the run.,overfitting,"After epoch 8, training continued improving to 0.142 loss, but validation loss moved in the opposite direction and finished at 0.986.",Use epoch 8 as the early-stopping point and compare it with the final checkpoint.
synthetic_v3_insufficient_evidence_042,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.108, 0.863]","[1.166, 0.895]",[],[],0.001,"[1, 2]",Batch size and optimizer settings stayed fixed during the run.,insufficient_evidence,"Only two epochs are available and both training and validation metrics are missing, so the early loss decrease does not support a specific diagnosis.",Collect more epochs and record training and validation metrics before diagnosing the run again.
synthetic_v3_learning_rate_too_low_012,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.593, 1.584, 1.575, 1.566, 1.557, 1.548, 1.539, 1.53, 1.521, 1.512, 1.503, 1.494]","[1.653, 1.645, 1.637, 1.629, 1.621, 1.613, 1.605, 1.597, 1.588, 1.58, 1.572, 1.564]","[0.334, 0.341, 0.348, 0.355, 0.361, 0.368, 0.375, 0.382, 0.389, 0.396, 0.403, 0.41]","[0.324, 0.329, 0.335, 0.34, 0.346, 0.351, 0.356, 0.362, 0.367, 0.373, 0.378, 0.384]",4.4e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Gradient clipping was enabled with the same limit in every epoch.,learning_rate_too_low,"Training loss decreased consistently by only 0.099, from 1.593 to 1.494, across 12 epochs, while the training metric improved by only 0.076.",Increase the learning rate by about 10x and run the same experiment again.
synthetic_v3_underfitting_027,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.89, 1.761, 1.65, 1.558, 1.482, 1.421, 1.376, 1.344, 1.324, 1.314, 1.312]","[1.965, 1.836, 1.725, 1.632, 1.556, 1.496, 1.45, 1.418, 1.398, 1.388, 1.386]","[0.367, 0.401, 0.429, 0.453, 0.473, 0.488, 0.5, 0.508, 0.513, 0.516, 0.517]","[0.366, 0.395, 0.42, 0.441, 0.458, 0.471, 0.482, 0.489, 0.493, 0.496, 0.496]",0.002299,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",Training and validation remained close but both results were weak.,underfitting,Training remained poor after 11 epochs: training loss was 1.312 and training metric was 0.517. Validation values were similarly poor at 1.386 loss and 0.496 metric.,"Train for more epochs and, if training remains poor, test a larger model."
